"","X.cohort.","X.treatment.","X.sofa_start.","X.sofa_end.","X.psi.","X.ci.","X.auc.","X.r2."
"1","cohort","treatment","sofa_start","sofa_end","psi","ci","auc","r2"
"2","MIMIC","ventilation_bin","0","5","-0.0457117470049592","-0.0636227166741021, -0.0278007773358163","0.71828202130139","0.146208828712942"
"3","MIMIC","ventilation_bin","6","10","-0.0527534033403467","-0.0717747491637536, -0.0337320575169398","0.685593761259552","0.126378110782177"
"4","MIMIC","ventilation_bin","11","15","-0.137634658532142","-0.176731612575766, -0.0985377044885185","0.670560397476412","0.0852190528364649"
"5","MIMIC","ventilation_bin","16","100","-0.0920198339214759","-0.218031599832607, 0.033991931989655","0.736927744070601","0.051169635514356"
