hospitalid,teachingstatus
382,false
165,false
167,true
387,false
122,false
142,false
183,false
188,true
198,true
208,false
243,false
443,true
458,false
73,true
79,false
252,true
264,true
300,true
338,false
416,true
449,true
199,true
420,true
