"","treatment","race","sofa_start","sofa_end","psi","i_ci","s_ci","pvalue","n"
"1","ventilation_bin","all",0,3,0.0693209959668297,0.0573800984045639,0.0812618935290954,5.35302333673427e-30,20753
"2","ventilation_bin","all",4,6,0.0615025606658911,0.0500172291576459,0.0729878921741364,9.05364924373724e-26,20447
"3","ventilation_bin","all",7,10,0.0523788990522533,0.0354405852778511,0.0693172128266556,1.35301554503099e-09,11878
"4","ventilation_bin","all",11,100,-0.0386824802759734,-0.0789302487970647,0.00156528824511787,0.0595956815097219,4604
"5","ventilation_bin","non-white",0,3,0.0535059005422462,0.028354433929257,0.0786573671552355,3.05134183454424e-05,3775
"6","ventilation_bin","non-white",4,6,0.0699812744511147,0.0442999608339424,0.0956625880682869,9.24471339263426e-08,3862
"7","ventilation_bin","non-white",7,10,0.0612345432696611,0.0252891112059473,0.0971799753333749,0.000840981889303286,2462
"8","ventilation_bin","non-white",11,100,-0.0145917211920301,-0.112180476351923,0.0829970339678626,0.769473056119365,971
"9","ventilation_bin","white",0,3,0.0737190118104985,0.0601035000772397,0.0873345235437573,2.61779066091476e-26,16978
"10","ventilation_bin","white",4,6,0.0596287084037711,0.0468023246572221,0.0724550921503202,8.09782755712637e-20,16585
"11","ventilation_bin","white",7,10,0.0509538807001511,0.0317254603932983,0.0701823010070038,2.05984790783195e-07,9416
"12","ventilation_bin","white",11,100,-0.0503646492989718,-0.0945398393427036,-0.00618945925523998,0.0254423818739505,3633
"13","rrt","all",0,3,0.118904494562212,0.114277914013468,0.123531075110956,0,20753
"14","rrt","all",4,6,0.0514456490176519,0.0458853996502633,0.0570058983850405,1.69612244664672e-73,20447
"15","rrt","all",7,10,0.0297205939920022,0.0212143020498859,0.0382268859341184,7.48110371802251e-12,11878
"16","rrt","all",11,100,-0.0516885564536743,-0.0659471517239991,-0.0374299611833495,1.20185063000982e-12,4604
"17","rrt","non-white",0,3,0.0739456916513547,0.0634338648935692,0.0844575184091402,3.02386071726625e-43,3775
"18","rrt","non-white",4,6,0.0273214436599488,-0.0156867965478663,0.0703296838677639,0.213090980302612,3862
"19","rrt","non-white",7,10,-0.0084272954206448,-0.0267590442345814,0.00990445339329184,0.367571110697143,2462
"20","rrt","non-white",11,100,-0.0648559229200522,-0.0962352079739029,-0.0334766378662014,5.09983379917544e-05,971
"21","rrt","white",0,3,0.131687946365662,0.126534320810152,0.136841571921173,0,16978
"22","rrt","white",4,6,0.0766357561813529,0.0704026331364467,0.0828688792262591,2.62048423341361e-128,16585
"23","rrt","white",7,10,0.0477537679498387,0.0381580586431005,0.0573494772565768,1.77187472299832e-22,9416
"24","rrt","white",11,100,-0.047006395164652,-0.0630095079225729,-0.0310032824067311,8.55391208742636e-09,3633
"25","pressor","all",0,3,0.034099530316737,0.0237992628069781,0.0443997978264959,8.65950287961273e-11,20753
"26","pressor","all",4,6,0.0145058420242401,0.00367157631698,0.0253401077315003,0.00868487596313013,20447
"27","pressor","all",7,10,0.0519289743528865,0.0345092369062735,0.0693487117994996,5.13174006312929e-09,11878
"28","pressor","all",11,100,0.0796191936551215,0.033296086031755,0.125942301278488,0.000754942100887639,4604
"29","pressor","non-white",0,3,0.0505408909601366,0.0255589408246826,0.0755228410955905,7.33132971194722e-05,3775
"30","pressor","non-white",4,6,0.0219036634367664,-0.00250118441567067,0.0463085112892034,0.0785562630781412,3862
"31","pressor","non-white",7,10,0.0735740308278652,0.037887258949215,0.109260802706515,5.32564907969582e-05,2462
"32","pressor","non-white",11,100,0.152159287454505,0.0501449492519167,0.254173625657094,0.00346193406165952,971
"33","pressor","white",0,3,0.0305596285842089,0.019218668314518,0.0419005888538998,1.28155751079392e-07,16978
"34","pressor","white",4,6,0.0129254316723203,0.000839136023989618,0.025011727320651,0.0360750692091791,16585
"35","pressor","white",7,10,0.0463461281768545,0.0263424072674376,0.0663498490862714,5.5967925843695e-06,9416
"36","pressor","white",11,100,0.0497275565976582,-0.00095663207874503,0.100411745274061,0.0544792666023383,3633
