,outcome,treatment,cohort,race,prob_mort_start,prob_mort_end,psi,i_ci,s_ci,pvalue,n,SL_libraries,Q_weights,g_weights
1,mortality_in,mv_elig,MIMIC,white,0,0.06,-0.02,-0.03,-0.01,3.53E-08,3670,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.0867940990190179 0 0.291330435950771 0.539672620845529 0.0822028441846821,0.0301583064806019 0 0 0.817910436340963 0.151931257178435
2,mortality_in,mv_elig,MIMIC,white,0.06,0.11,0,-0.01,0.01,0.4694957,4330,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.224723000152173 0 0 0.56847649799626 0.206800501851567,0.0219382216339834 0 0 0.349328142119214 0.628733636246803
3,mortality_in,mv_elig,MIMIC,white,0.11,0.21,-0.03,-0.04,-0.01,0.000551919,4059,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.297012697142129 0 0 0.558987234719935 0.144000068137936,0.159414233667525 0 0 0.31922765322021 0.521358113112265
4,mortality_in,mv_elig,MIMIC,white,0.21,1,0.03,0.01,0.04,0.001715403,3864,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.363583088223401 0 0 0.531015464864264 0.105401446912335,0.0745710371439209 0 0 0.34102149571839 0.584407467137689
5,mortality_in,mv_elig,MIMIC,white,0,1,0.01,0.01,0.02,2.54E-05,15923,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.183189605987509 0 0 0.573396316616304 0.243414077396188,0 0 0 0.446546120390177 0.553453879609823
6,mortality_in,mv_elig,MIMIC,non-white,0,0.06,0.02,0,0.04,0.035771143,824,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.186068479477422 0 0.555528304084673 0.258403216437905 0,0.180200528894383 0 0.133807365076149 0.677511608924535 0.00848049710493344
7,mortality_in,mv_elig,MIMIC,non-white,0.06,0.11,0.01,-0.01,0.03,0.404119364,933,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.389888036775938 0 0 0.524153489866102 0.0859584733579595,0 0 0 0.579143429312116 0.420856570687884
8,mortality_in,mv_elig,MIMIC,non-white,0.11,0.21,-0.02,-0.05,0.01,0.133135804,855,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.110362110328014 0 0 0.724209578416773 0.165428311255213,0 0 0 0.624075209925955 0.375924790074045
9,mortality_in,mv_elig,MIMIC,non-white,0.21,1,-0.02,-0.05,0.02,0.357872508,884,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.450190520191411 0 0 0.472873799242623 0.0769356805659662,0.158615206584083 0 0 0.528731033336786 0.312653760079131
10,mortality_in,mv_elig,MIMIC,non-white,0,1,0.02,0.01,0.03,0.002322808,3496,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.341202560880743 0 0 0.522166621203488 0.136630817915769,0 0 0 0.448579749149378 0.551420250850622
11,mortality_in,rrt_elig,MIMIC,white,0,0.06,0.06,0.05,0.07,2.32E-33,3670,SL.glm SL.mean SL.glmnet SL.ranger SL.earth,0.250111829757847 0 0.135224669190017 0.614663501052137 0,0.289297184382116 0 0 0.324092786941176 0.386610028676708
